DataStream0,DataStream1,DataStream2,DataStream3,DataStream4,DataStream5,DataStream6,DataStream7,DataStream8,DataStream9,DataStream10,DataStream11,DataStream12,DataStream13,DataStream14,DataStream15,DataStream16,
119.0,0.0,465.0,4156.410256410257,3933.333333333334,4363.076923076924,5703.589743589744,3981.538461538462,4202.564102564103,3909.7435897435903,4267.6923076923085,4109.74358974359,4012.307692307693,4288.205128205129,4083.076923076924,3602.564102564103,4009.23076923077,
120.0,0.0,447.0,4146.153846153847,3935.3846153846157,4351.282051282052,5698.461538461539,3987.692307692308,4190.256410256411,3896.9230769230776,4260.512820512821,4094.8717948717954,4019.48717948718,4286.153846153847,4078.461538461539,3596.410256410257,4005.1282051282055,
121.0,0.0,438.0,4156.923076923077,3948.717948717949,4358.461538461539,5695.384615384616,3992.820512820513,4175.384615384616,3898.461538461539,4264.615384615385,4093.8461538461543,4034.358974358975,4312.820512820514,4092.820512820513,3615.3846153846157,4019.48717948718,
122.0,0.0,478.0,4173.846153846154,3971.7948717948725,4376.923076923077,5693.846153846154,4004.1025641025644,4214.358974358975,3921.0256410256416,4284.102564102564,4128.205128205129,4038.461538461539,4327.6923076923085,4111.794871794872,3632.820512820513,4040.0000000000005,
123.0,0.0,465.0,4166.666666666667,3973.8461538461543,4370.256410256411,5690.256410256411,4002.564102564103,4221.025641025642,3917.9487179487182,4275.384615384616,4123.076923076924,4035.3846153846157,4312.307692307693,4104.615384615385,3624.1025641025644,4035.8974358974365,
124.0,0.0,447.0,4148.205128205129,3954.358974358975,4352.307692307693,5685.128205128206,3993.333333333334,4165.128205128206,3886.1538461538466,4250.256410256411,4078.461538461539,4023.076923076924,4303.076923076924,4088.205128205129,3610.7692307692314,4019.48717948718,
125.0,0.0,438.0,4151.794871794872,3959.48717948718,4360.000000000001,5686.666666666667,3991.7948717948725,4165.128205128206,3883.589743589744,4256.410256410257,4075.8974358974365,4023.589743589744,4312.307692307693,4094.358974358975,3618.9743589743593,4021.538461538462,
126.0,0.0,478.0,4171.794871794872,3984.615384615385,4378.974358974359,5690.769230769231,4001.538461538462,4223.589743589744,3914.358974358975,4281.538461538462,4114.871794871796,4036.9230769230776,4323.589743589744,4108.205128205129,3636.410256410257,4035.8974358974365,
127.0,0.0,465.0,4172.820512820514,3990.7692307692314,4378.461538461539,5688.717948717949,4013.333333333334,4213.333333333334,3918.461538461539,4287.6923076923085,4125.128205128206,4039.48717948718,4331.282051282052,4110.769230769231,3634.8717948717954,4037.9487179487182,
128.0,0.0,447.0,4154.871794871796,3979.48717948718,4364.615384615385,5689.743589743591,4010.2564102564106,4152.307692307693,3888.717948717949,4269.2307692307695,4096.410256410257,4037.435897435898,4318.974358974359,4099.48717948718,3617.9487179487182,4023.589743589744,
0.0,0.0,437.0,4146.153846153847,3980.0000000000005,4356.923076923077,5690.256410256411,4003.589743589744,4166.666666666667,3882.0512820512827,4256.923076923077,4083.076923076924,4036.410256410257,4302.564102564103,4082.564102564103,3614.358974358975,4015.8974358974365,
1.0,0.0,0.0,4154.358974358975,3996.9230769230776,4361.025641025642,5687.179487179488,4007.692307692308,4213.846153846154,3897.435897435898,4266.153846153847,4093.8461538461543,4033.333333333334,4311.282051282052,4087.1794871794878,3623.0769230769233,4024.1025641025644,
2.0,0.0,470.0,4161.538461538462,4007.1794871794878,4361.538461538462,5688.717948717949,4008.205128205129,4197.435897435898,3893.333333333334,4275.384615384616,4097.435897435898,4033.333333333334,4318.461538461539,4102.051282051282,3618.9743589743593,4024.1025641025644,
3.0,0.0,496.0,4161.538461538462,4006.1538461538466,4363.076923076924,5688.717948717949,4007.1794871794878,4197.948717948719,3899.48717948718,4280.512820512821,4106.153846153847,4047.1794871794878,4318.461538461539,4103.589743589744,3618.9743589743593,4023.076923076924,
4.0,0.0,498.0,4163.076923076924,4013.333333333334,4369.2307692307695,5687.6923076923085,4023.589743589744,4227.179487179487,3914.8717948717954,4287.6923076923085,4121.025641025642,4056.410256410257,4331.282051282052,4103.076923076924,3637.9487179487182,4031.7948717948725,
5.0,0.0,482.0,4157.948717948719,4020.0000000000005,4363.589743589744,5686.666666666667,4030.2564102564106,4201.538461538462,3897.435897435898,4286.666666666667,4118.461538461539,4051.2820512820517,4337.435897435898,4103.589743589744,3643.0769230769233,4030.2564102564106,
6.0,0.0,508.0,4147.179487179487,4016.410256410257,4347.179487179487,5687.179487179488,4006.666666666667,4164.615384615385,3872.307692307693,4277.435897435898,4109.74358974359,4056.410256410257,4324.102564102564,4092.307692307693,3627.692307692308,4016.410256410257,
7.0,0.0,433.0,4152.820512820514,4024.1025641025644,4351.282051282052,5688.205128205129,4004.615384615385,4191.282051282052,3884.615384615385,4282.051282051282,4123.076923076924,4068.717948717949,4323.589743589744,4090.2564102564106,3628.717948717949,4020.0000000000005,
8.0,0.0,430.0,4171.794871794872,4048.717948717949,4374.871794871796,5688.205128205129,4036.410256410257,4212.820512820514,3902.564102564103,4296.923076923077,4137.948717948719,4070.7692307692314,4340.512820512821,4108.717948717949,3651.2820512820517,4040.0000000000005,
9.0,0.0,435.0,4172.820512820514,4051.7948717948725,4376.410256410257,5689.2307692307695,4040.5128205128212,4177.435897435898,3893.8461538461543,4291.794871794872,4121.538461538462,4068.205128205129,4344.102564102564,4110.256410256411,3654.8717948717954,4040.0000000000005,
10.0,0.0,478.0,4163.589743589744,4045.1282051282055,4360.000000000001,5687.179487179488,4020.0000000000005,4179.48717948718,3895.8974358974365,4287.6923076923085,4115.8974358974365,4069.7435897435903,4334.871794871796,4095.8974358974365,3642.564102564103,4027.692307692308,
11.0,0.0,465.0,4170.256410256411,4056.410256410257,4364.102564102564,5682.051282051283,4023.076923076924,4234.871794871796,3916.410256410257,4310.769230769231,4143.589743589744,4086.1538461538466,4336.923076923077,4098.974358974359,3654.8717948717954,4034.8717948717954,
